개방서비스명,상세영업상태명,도로명전체주소,도로명우편번호,사업장명,좌표정보x,좌표정보y
국제물류주선업,운행,경상남도 밀양시 산내면 가인2길 81,50414,주식회사 진아,372159.285,235617.5359
국제물류주선업,운행,"경상남도 김해시 활천로15번길 9, 3층 303호 (부원동, 삼성 리치빌)",50924,에스티종합물류 주식회사,372242.0558,193799.341
국제물류주선업,운행,"경상남도 김해시 활천로202번길 60, A동 2층 201호 (어방동, 성도빌라)",50840,주식회사 대신로직스,372731.9028,194817.694
국제물류주선업,운행,"경상남도 김해시 인제로 165, 대우유토피아아파트상가 16동 306호 (어방동)",50836,주식회사 씨에스종합물류,372991.9686,195432.3479
국제물류주선업,운행,"경상남도 김해시 인제로65번길 22, 305호(어방동, 코스마DIT빌라)",50930,KJ 물류,373103.5697,194451.1573
국제물류주선업,운행,"부산광역시 강서구 명지오션시티9로 50, 삼정그린코아웨스트 101동 811호(명지동)",46762,(주)부강물류,373408.1428,178196.0721
국제물류주선업,운행,"부산광역시 강서구 명지오션시티9로 50, 삼정그린코아웨스트 상가동 202호(명지동)",46762,(주)코비로지스틱스,373408.1428,178196.0721
국제물류주선업,운행,"부산광역시 강서구 명지오션시티12로 92, 501동 404호 (명지동, 엘크루 블루오션)",46764,(주)클로버종합물류,373744.1124,177424.1863
국제물류주선업,운행,"부산광역시 강서구 명지국제7로 37, 902호(명지동, 더샵 명지퍼스트월드 2단지)",46726,(주)타오로지스틱스,373753.9875,179343.1529
국제물류주선업,운행,경상남도 김해시 김해대로 2595(안동),50932,주식회사 넥센,373856.8781,193920.333
국제물류주선업,운행,"부산광역시 강서구 명지국제6로 99, 명지대방디엠시티센텀오션 에이동 1829호 (명지동)",46726,(주)서정물류,374105.4638,178726.2669
국제물류주선업,운행,"부산광역시 강서구 명지국제8로 233, 505호 (명지동)",46726,토탈로지스(주),374846.3635,179403.949
국제물류주선업,운행,경상남도 김해시 식만로 358 (불암동),50937,주식회사 해드림,375144.281,192926.4182
국제물류주선업,운행,"부산광역시 강서구 명지국제11로 43, 명지센텀빌딩 401호(명지동)",46773,(주)세계로코퍼레이션,375289.8336,180086.8696
국제물류주선업,운행,"부산광역시 강서구 명지국제8로 290, 디엔씨빌딩 4층 401호 (명지동)",46772,(주)통도물류,375397.6412,179270.218
국제물류주선업,운행,"부산광역시 강서구 맥도길 520, 1층 (대저2동)",46723,(주)짐캐리,376781.2283,184653.7818
국제물류주선업,운행,"부산광역시 강서구 유통단지1로97번길 11, 서부산철강단지 120동(대저2동)",46721,(주)글로벌디티에스,377795.4771,186861.5105
국제물류주선업,운행,"부산광역시 강서구 맥도강변길 950-31, 1층 (대저2동)",46723,(주)우주글로벌,377843.8156,185173.1202
국제물류주선업,운행,부산광역시 강서구 맥도강변길 951 (대저2동),46723,스틸로지스(주),377861.7,185346.453
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 50, 210동 201호 (대저2동)",46721,(유)성운로지스,377988.0399,187305.3676
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 50, 부산티플렉스 209동 117호 (대저2동)",46721,에이티티(주),377988.0399,187305.3676
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 50, 부산티플렉스 218동 204호(대저2동)",46721,(주)에이치케이로직스,377988.0399,187305.3676
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 50, 부산티플렉스 218동 210호(대저2동)",46721,엔에스엘(주),377988.0399,187305.3676
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 50, 부산티플렉스 206동 213호(대저2동)",46721,(주)원메이저글로벌,377988.0399,187305.3676
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 50, 부산티플렉스 203동 110호(대저2동)",46721,(주)에어로,377988.0399,187305.3676
국제물류주선업,운행,경상남도 양산시 원동면 원동로 810,50588,주식회사 동서통운,378062.5114,206563.7488
국제물류주선업,운행,부산광역시 강서구 경전철로24번길 43-9(대저2동),46719,한국피엘에스(주),378142.4716,188757.309
국제물류주선업,운행,부산광역시 강서구 경전철로24번길 43-4(대저2동),46719,(주)풀로그,378188.1122,188749.3626
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 41, 부산티플렉스 107동 206호(대저2동)",46721,(주)코멕스글로텍,378260.6686,186989.3854
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 41, 부산티플렉스 114동 221호 (대저2동)",46721,(주)비코인터내셔날,378260.6686,186989.3854
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 41, 부산티플렉스 101동 2층 204호(대저2동)",46721,(주)스타로드해운항공,378260.6686,186989.3854
국제물류주선업,운행,"부산광역시 강서구 유통단지1로 41, 부산티플렉스 127동 213호 (대저2동)",46721,제이엔지인터내셔널㈜,378260.6686,186989.3854
